#kx	ky	kz
4.3131258e-01 -2.0482792e-01 7.9333148e-02
4.5378354e-01 -1.8624460e-01 7.9333148e-02
4.7642630e-01 -1.6787089e-01 7.9333148e-02
4.9916742e-01 -1.4961898e-01 7.9333148e-02
5.2190378e-01 -1.3136116e-01 7.9333148e-02
5.4448495e-01 -1.1291211e-01 7.9333148e-02
5.6666933e-01 -9.3989126e-02 7.9333148e-02
5.8802232e-01 -7.4137212e-02 7.9333148e-02
6.0764920e-01 -5.2593090e-02 7.9333148e-02
6.2338592e-01 -2.8124616e-02 7.9333148e-02
-6.3012730e-01 -7.7168339e-17 7.9333148e-02
-6.2338592e-01 -2.8124616e-02 7.9333148e-02
-6.0764920e-01 -5.2593090e-02 7.9333148e-02
-5.8802232e-01 -7.4137212e-02 7.9333148e-02
-5.6666933e-01 -9.3989126e-02 7.9333148e-02
-5.4448495e-01 -1.1291211e-01 7.9333148e-02
-5.2190378e-01 -1.3136116e-01 7.9333148e-02
-4.9916742e-01 -1.4961898e-01 7.9333148e-02
-4.7642630e-01 -1.6787089e-01 7.9333148e-02
-4.5378354e-01 -1.8624460e-01 7.9333148e-02
-4.3131258e-01 -2.0482792e-01 7.9333148e-02
-4.0906967e-01 -2.2368351e-01 7.9333148e-02
-3.8709901e-01 -2.4285554e-01 7.9333148e-02
-3.6543332e-01 -2.6237147e-01 7.9333148e-02
-3.4409962e-01 -2.8224974e-01 7.9333148e-02
-3.2311693e-01 -3.0249812e-01 7.9333148e-02
-3.0249812e-01 -3.2311693e-01 7.9333148e-02
-2.8224974e-01 -3.4409962e-01 7.9333148e-02
-2.6237147e-01 -3.6543332e-01 7.9333148e-02
-2.4285554e-01 -3.8709901e-01 7.9333148e-02
-2.2368351e-01 -4.0906967e-01 7.9333148e-02
-2.0482792e-01 -4.3131258e-01 7.9333148e-02
-1.8624460e-01 -4.5378354e-01 7.9333148e-02
-1.6787089e-01 -4.7642630e-01 7.9333148e-02
-1.4961898e-01 -4.9916742e-01 7.9333148e-02
-1.3136116e-01 -5.2190378e-01 7.9333148e-02
-1.1291211e-01 -5.4448495e-01 7.9333148e-02
-9.3989126e-02 -5.6666933e-01 7.9333148e-02
-7.4137212e-02 -5.8802232e-01 7.9333148e-02
-5.2593090e-02 -6.0764920e-01 7.9333148e-02
-2.8124616e-02 -6.2338592e-01 7.9333148e-02
-1.1575251e-16 6.3012730e-01 7.9333148e-02
-2.8124616e-02 6.2338592e-01 7.9333148e-02
-5.2593090e-02 6.0764920e-01 7.9333148e-02
-7.4137212e-02 5.8802232e-01 7.9333148e-02
